;Дата рождения;04.10.2025;06.11.2025;17.11.2025;05.12.2025;09.01.2026;05.02.2026;05.03.2026
Падпараджа;06.05.2024;205г;;;274г;264г;261г;265г
;;;;;;;;
Вессера;14.05.2024;192г;212г;;;249г;;
;;;;;;;;
Алмаз;26.05.2025;12г;16г;;21г;линька;;39г
;;;;;;;;
Циркон;04.06.2024;;114г;;166г;169г;;273г
;;;;;;;;
Лури;;;10г;;14г;13г;15г;17г
;;;;;;;;
Карат;;;10г;;13г;15г;17г;23г
;;;;;;;;
Кварц;;;;58г;;79г;94г;
;;;;;;;;
Рубин;02.06.2025;;;28г;33г;35г;40г;
;;;;;;;;
Графит;10.10.2025;;;60г;78г;100г;;143г
;;;;;;;;
Морганит;07.08.2025;;;;15г;16г;19г;21г
;;;;;;;;
Гошенит;08.08.2025;;;;12г;13г;16г;23г
;;;;;;;;
Синнабон/Cinnabar;03.10.2025;;;;;линька;;
;;;;;;;;
Фосфофиллит;;;;;;;20г;22г
;;;;;;;;
Сая;;;;;;;;51г
;;;;;;;;
Марика;;;;;;;;60г
;;;;;;;;
Рубелиус;;;;;;;;44г
;;;;;;;;
Хумус ;;;;;;;;28г
;;;;;;;;
Рафаэлка;;;;;;;;20г
;;;;;;;;
Пич;;;;;;;;35г
;;;;;;;;
Цири;;;;;;;;
